step,train/acc,epoch,train/loss,val/acc_best,val/acc,val/loss,hp_metric
4,0.1875,0,2.29243803024292,,,,
9,0.15625,0,2.3335368633270264,,,,
14,0.03125,0,2.3445749282836914,,,,
19,0.03125,0,2.305805206298828,,,,
24,0.0,0,2.2911643981933594,,,,
24,,0,,0.11224489659070969,0.11224489659070969,2.3175158500671387,0.11224489659070969
29,0.1875,1,2.259086847305298,,,,
34,0.21875,1,2.3075900077819824,,,,
39,0.15625,1,2.2681071758270264,,,,
44,0.125,1,2.31693696975708,,,,
49,0.0,1,2.3797531127929688,,,,
49,,1,,0.11224489659070969,0.10204081982374191,2.3108489513397217,0.11224489659070969
